"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2021015873,"05","1","2555 AV DOLLARD BLDG 8","","LASALLE","QC","H8N3A","ENERGY FRESH EXPRESS TRUCKIN INC","5143639555","","","","","","N","","","","","","","","2","02779554","08"
2021016595,"99","1","688 BRIDGETON AVENUE","","BRIDGETON","NJ","08302","VINCE PALADINO FARMS INC.","6093647018","080000","","","","","N","","","","","","N","A-00000000","2","00298156","08"
2021021481,"03","7","3001 RAILROAD ST","","PITTSBURGH","PA","15201","CITY OF PITTSBURGH","4122554753","058400","","","","","N","","","","","","N","","1","","04"
2021051631,"02","9","22035 PERRY HIGHWAY","","ZELIENOPLE","PA","16063","HIGHWAY EQUIPMENT CO.","7244527800","","","","","","N","","","","","","","","2","06059774","09"
2021098068,"99","1","PO BOX 791 110910","","READING","PA","19603","PENSKE LEASING AND RENTAL CO","9999999999","999999","","","","","","","","","","","","","1","","02"
2021099263,"02","1","70 33RD ST","","PITTSBURGH","PA","15201","GARDA CL  ATLANTIC INC","4124347034","","","","","","N","","","","","","","","1","00006731","03"
2021102698,"05","4","133 RED ROCK ROAD","","BUCKHANNON","WV","26201","MOUNTAIN VALLEY TRANSPORT & EXCA","3046136766","080000","","","","","N","","","","","","","","1","02207115","08"
2021120686,"03","3","1003 SUNSET DRIVE","","CRANBERRY","PA","16066","DTC EXPRESS","7245848858","040000","","","","","N","","","","","","N","","2","00772384","09"
2021003359,"02","1","840 N 700 W","","NORTH SALT LAKE CITY","UT","840546063","LEGACY TRANSPORTATION SYSTEMS LL","7542523450","080000","","","","","N","","","","","","N","","2","01055718","08"
2021030945,"04","4","527 PA-217","","LATROBE","PA","15650","DERRY CONSTRUCTION COMPANY","7245397600","073280","","","","","N","","","","","","N","","2","00499381","04"
2021041167,"02","9","209 13TH ST","","PITTSBURGH","PA","15212","MANS ACCESS","4127811175","","","","","","N","","","","","","N","999999","2","02430252","13"
2021042348,"04","4","109 DARK HOLLOW ROAD","","OAKMONT","PA","15139","CARD TRANSPORT LLC","4128202800","073280","","","","","N","","","","","","N","A-00114665","2","00945123","04"
2021051923,"05","1","980 SHELLHAMMER RD","","APOLLO","PA","15613","DPE, INC.","7244784740","080000","","","","","N","","","","","","","","1","02155108","08"
2021060808,"02","1","14949 ST RT 28W","","ALEXANDRIA","IN","46001","R&L TRANSFER INC","3309219827","025999","","","","","N","","","","","","N","","2","00063391","03"
2021068665,"03","1","101 KAPPA DRIVE","","PITTSBURGH","PA","15238","TALON LOGISTICS INC","4129636200","016627","","","","","N","","","","","","N","","1","00003023","08"
2021073178,"02","0","2235 BEAVER AVE.","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY CO","4124422000","999999","","","","","N","","","","","","N","A-00976060","2","","13"
2021087584,"99","3","16065 INDUSTRIAL PARKWAY","","CLEVELAND","OH","44135","ROYAL OAK RECYCLING INC","2163251500","038000","","","","","N","","","","","","N","","2","00188457","09"
2021004370,"02","8","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY COUN","4124422000","","","","","","N","","","","","","N","A00976060","2","","13"
2021006426,"03","0","4822 OLD BOSTON ROAD","","PITTSBURGH","PA","15236","KRUNA TRANSPORTATION LLC","4128929653","080000","","","","","N","","","","","","N","","1","02266753","07"
2021023508,"05","9","PO BOX 685","","SHARON","PA","16146","PI&I MOTOR EXPRESS INC","3304484035","080000","","","","","N","","","","","","N","","1","00122443","08"
2021044788,"03","4","2516 STATE ROUTE 18","","WAMPUM","PA","16157","YPI TRUCKING INC.","7245353395","","","","","","N","","","","","","N","","1","02395606","09"
2021060049,"02","7","121 BRICKYARD RD","","MARS","PA","16046","SHANKS WASTE SERVICE","7242268320","058400","","","","","N","","","","","","N","8920486","2","03062706","03"
2021064001,"05","2","PO BOX 191","","KILGORE","TX","75663","MARTIN TRANSPORT INC","9039886464","080000","","","","","N","","","","","","N","","1","00033094","06"
2021080914,"05","3","420 CONSTITUTION BLVD","","NEW BRIGHTON","PA","15066","JP GRAHAM TRANSPORT INC","7248465900","080000","","","","","","","","","","","N","","1","00504403","08"
2021085963,"03","1","830 N READING ROAD","","EPHRATA","PA","175220498","SUNRISE TRANSPORT INC","7177212759","","","","","","N","","","","","","U","A-00122746","2","00276388","99"
2021087478,"99","0","101 FAIRVIEW AVE","","PITTSBURGH","PA","15238","V SYSTEMS","9999999999","010700","","","","","","","","","","","","","1","","02"
2021088974,"02","0","2235 BEAVER AVENUE","","PITTSBURGH","PA","15233","PORT AUTHORITY ALLEGHENY COUNTY","4124422000","040000","","","","","N","","","","","","","A-00976060","2","","15"
