"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR"
"2021003409","2","0","PA","7","PT358C9",""
"2021039791","2","0","ME","7","3018994","2018"
"2021017887","1","0","IL","7","T425-88-809","2021"
"2021045624","1","0","PA","6","PT099E7","9999"
"2021077302","2","0","","1","",""
"2021045312","2","0","PA","6","XNC2906","2022"
"2021064001","1","0","TX","6","005D886","2025"
"2021078392","3","0","PA","6","XKX2830","22"
"2021079394","1","0","IN","7","47265",""
"2021059328","3","0","PA","3","XKV9400","2021"
"2021059398","1","0","PA","6","XML0224","2022"
"2021057437","2","0","PA","1","LPH0609","2012"
"2021111730","2","1","ME","7","245614G","2024"
"2021081901","1","0","ID","7","TL7615","2021"
"2021038884","1","0","IN","6","2392500","2020"
"2022003823","2","0","PA","1","LDW9910","2022"
"2021020624","3","0","","1","",""
"2021066237","1","0","","6","",""
"2021066348","2","0","","7","",""
"2021067850","2","0","PA","7","PT629K4","2021"
"2021069810","1","1","PA","6","XDP3641","0220"
"2021094285","1","1","PA","3","XNJ-8038","21"
"2021104518","2","1","IL","7","69729257",""
"2021106613","1","1","PA","7","PT833A0","2015"
"2021121914","1","0","OH","6","TQW8281","1999"
"2021089969","2","0","PA","7","PT470L3","2021"
"2021094564","2","1","IN","7","P865360","2021"
"2021082717","3","1","PA","1","",""
"2021102698","1","1","WV","7","C326076","9999"
"2021113179","2","1","OH","6","TRJ9211","2021"
"2021004128","1","0","PA","8","XKT0614",""
"2021019304","1","0","PA","7","PT069E1","2021"
"2021014263","2","0","AB","7","5AU714","2021"
"2021071567","1","0","PA","7","PT093F7","2018"
"2021062672","1","0","ME","7","25TLR5753E","2021"
"2021060660","2","0","NJ","7","TUK18G","2021"
"2021084809","3","1","","1","",""
"2021095755","1","1","PA","6","PT427F7",""
"2021078745","1","0","PA","6","",""
"2021081701","2","0","PA","1","LKZ7530","2021"
"2021108334","1","1","PA","6","PT476D7","9999"
"2021099182","2","0","PA","3","XFL4018","2021"
"2021107217","3","1","PA","3","XMR5227","2022"
"2021122282","1","1","PA","3","XMN8844","2022"
"2021083049","2","1","","1","",""
"2021019090","1","0","PA","3","XFM7436","2019"
"2021036846","1","0","ON","7","N8677D","2022"
"2021023508","1","0","ME","7","3034301","2030"
"2021034339","2","0","PA","1","LJD1315","2021"
"2021007312","1","0","PA","6","PT0707L",""
"2021054130","2","0","OK","7","5644KS","2020"
"2021042681","1","0","PA","7","PT671H8","2022"
"2021046614","3","0","PA","3","XMS4476","1997"
"2021072360","2","1","PA","3","PT429F9","2018"
"2021063370","1","1","","2","",""
"2021083958","2","1","","8","",""
"2021044553","2","0","PA","7","XKP9926","2021"
"2021097665","1","1","OH","6","TRQ8742","2022"
"2021068869","2","1","","2","",""
"2021083630","1","0","PA","","",""
"2021084977","2","0","","8","",""
"2021116853","2","0","PA","3","XJR1057","2020"
"2021091846","2","1","","8","",""
"2021090490","1","1","","1","",""
"2021116042","2","1","OH","6","TRW1437","2021"
"2021074899","2","1","PA","1","",""
"2021021007","1","0","","1","",""
