"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","04","N","2021013844","1","1","","1","01","Y","NISS","2013","02","2","","1","00","W","999","0","","1","01","05","12","01","PA","1","01","1N4AL3APXDC","P4D"
"","69","N","2021008212","1","1","","1","11","Y","CHEV","2020","01","1","","1","00","N","999","0","","3","01","01","12","03","PA","2","06","3GNAXUEV7LL","T"
"","04","N","2021009983","3","1","","3","12","Y","FORD","2005","01","1","","1","00","E","999","0","","1","01","02","01","01","PA","1","01","1FAFP34NX5W","P4D"
"","04","N","2021030059","3","1","","1","11","Y","NISS","2012","01","1","","1","00","S","045","0","","1","01","05","15","07","PA","1","01","1N4AA5AP7CC","P4D"
"","04","N","2021018690","3","1","","3","01","Y","NISS","2010","02","1","","3","00","S","999","0","","1","01","02","17","01","PA","1","01","3N1AB6AP7AL","P4D"
"","15","N","2021011248","3","1","","3","12","Y","JEEP","2010","01","1","","1","00","E","020","","","1","01","07","02","03","PA","1","06","1J4RG4GK4AC","T4W"
"","15","N","2021016452","3","1","","1","12","Y","NISS","2012","01","3","","1","00","E","999","0","","2","01","07","01","01","PA","1","06","JN8AS5MV3CW","T4W"
"","69","N","2021022243","3","3","","1","12","U","JEEP","2012","01","1","","1","00","S","999","0","","1","05","01","99","01","PA","0","06","1C4RJFBT5CC","T"
"","04","N","2021015167","9","2","","3","07","U","DODG","1998","","0","","1","00","W","000","0","","4","02","12","06","01","PA","2","01","1B3EJ46X3WN","P4D"
"","04","N","2021009219","1","1","","1","11","Y","FORD","2014","01","1","","1","00","N","999","0","","1","01","02","12","01","PA","1","01","3FA6P0H77ER","P4D"
"","51","N","2021022720","2","1","","1","00","N","FORD","1997","01","1","","1","00","N","999","0","","1","01","01","01","09","PA","0","04","1FTHF26H7VE","TPK"
"","04","N","2021021198","3","1","","1","02","Y","HYUN","2008","01","1","","1","00","S","035","0","","1","01","07","01","09","PA","1","01","5NPET46C48H","P4D"
"","04","N","2021007276","1","2","","1","06","Y","LEXS","2010","","0","","1","00","E","000","0","","3","02","07","06","09","PA","1","01","JTHBB1BA2A2","P4D"
"","04","N","2021011369","3","1","","2","11","N","CADI","2004","02","2","","1","00","S","005","0","","1","01","07","12","01","PA","1","01","1G6KS54Y34U","P4D"
"","04","N","2021009348","3","1","","1","12","Y","MAZD","2006","01","2","","1","00","E","999","0","","2","01","02","01","01","PA","1","01","1YVHP80D365","P4D"
"","15","N","2021021280","3","1","","3","02","N","FORD","2017","01","1","","1","00","S","080","","","1","01","07","01","01","PA","1","06","1FM5K8F84HG","T4W"
